id,start_time,stage_ids,properties,end_time,result
0,1763628529460,[0],"{'spark.rdd.scope': '{""id"":""2"",""name"":""collect""}', 'spark.rdd.scope.noOverride': 'true'}",1763628530927,JobSucceeded
1,1763628531688,[1],"{'spark.rdd.scope': '{""id"":""7"",""name"":""collect""}', 'spark.rdd.scope.noOverride': 'true'}",1763628531771,JobSucceeded
2,1763628531830,[2],"{'spark.rdd.scope': '{""id"":""12"",""name"":""collect""}', 'spark.rdd.scope.noOverride': 'true'}",1763628531945,JobSucceeded
3,1763628532044,[3],"{'spark.rdd.scope': '{""id"":""17"",""name"":""collect""}', 'spark.rdd.scope.noOverride': 'true'}",1763628532083,JobSucceeded
4,1763628532146,[4],"{'spark.rdd.scope': '{""id"":""22"",""name"":""collect""}', 'spark.rdd.scope.noOverride': 'true'}",1763628532197,JobSucceeded
5,1763628532278,[5],"{'spark.rdd.scope': '{""id"":""27"",""name"":""collect""}', 'spark.rdd.scope.noOverride': 'true'}",1763628532341,JobSucceeded
6,1763628532395,[6],"{'spark.rdd.scope': '{""id"":""32"",""name"":""collect""}', 'spark.rdd.scope.noOverride': 'true'}",1763628532431,JobSucceeded
7,1763628532499,[7],"{'spark.rdd.scope': '{""id"":""37"",""name"":""collect""}', 'spark.rdd.scope.noOverride': 'true'}",1763628532548,JobSucceeded
8,1763628534516,[8],"{'spark.rdd.scope': '{""id"":""41"",""name"":""Exchange""}', 'spark.rdd.scope.noOverride': 'true'}",1763628536275,JobSucceeded
9,1763628536343,"[9, 10]","{'spark.rdd.scope': '{""id"":""53"",""name"":""collect""}', '__fetch_continuous_blocks_in_batch_enabled': 'true', 'callSite.short': 'foreach at /app/engines/pyspark/queries/exec.py:144', 'spark.rdd.scope.noOverride': 'true'}",1763628537337,JobSucceeded
10,1763628537453,[11],"{'spark.driver.port': '40275', 'spark.submit.pyFiles': '', 'spark.app.startTime': '1763628526901', 'spark.rdd.scope': '{""id"":""65"",""name"":""Exchange""}', 'spark.rdd.compress': 'True', 'spark.app.submitTime': '1763628526719', 'spark.eventLog.dir': '/tmp/spark-events', 'spark.app.initial.jar.urls': 'spark://71c0800f6426:40275/jars/JavaUDFjarfile.jar,spark://71c0800f6426:40275/jars/ScalaUDFjarfileTable.jar,spark://71c0800f6426:40275/jars/ScalaUDFjarfile.jar,spark://71c0800f6426:40275/jars/ScalaUDFjarfileAggregate.jar', 'spark.sql.execution.id': '8', 'spark.sql.warehouse.dir': 'file:/app/spark-warehouse', 'spark.rdd.scope.noOverride': 'true', 'spark.master': 'spark://spark:7077', 'spark.repl.local.jars': 'file:///app/jars/ScalaUDFjarfile.jar,file:///app/jars/JavaUDFjarfile.jar,file:///app/jars/ScalaUDFjarfileTable.jar,file:///app/jars/ScalaUDFjarfileAggregate.jar', 'spark.executor.id': 'driver', 'spark.app.name': 'UDFBench', 'spark.submit.deployMode': 'client', 'spark.driver.host': '71c0800f6426', 'spark.app.id': 'app-20251120084847-0002', 'spark.eventLog.enabled': 'true', '__fetch_continuous_blocks_in_batch_enabled': 'true', 'spark.executor.extraJavaOptions': '-Djava.net.preferIPv6Addresses=false -XX:+IgnoreUnrecognizedVMOptions --add-opens=java.base/java.lang=ALL-UNNAMED --add-opens=java.base/java.lang.invoke=ALL-UNNAMED --add-opens=java.base/java.lang.reflect=ALL-UNNAMED --add-opens=java.base/java.io=ALL-UNNAMED --add-opens=java.base/java.net=ALL-UNNAMED --add-opens=java.base/java.nio=ALL-UNNAMED --add-opens=java.base/java.util=ALL-UNNAMED --add-opens=java.base/java.util.concurrent=ALL-UNNAMED --add-opens=java.base/java.util.concurrent.atomic=ALL-UNNAMED --add-opens=java.base/jdk.internal.ref=ALL-UNNAMED --add-opens=java.base/sun.nio.ch=ALL-UNNAMED --add-opens=java.base/sun.nio.cs=ALL-UNNAMED --add-opens=java.base/sun.security.action=ALL-UNNAMED --add-opens=java.base/sun.util.calendar=ALL-UNNAMED --add-opens=java.security.jgss/sun.security.krb5=ALL-UNNAMED -Djdk.reflect.useDirectMethodHandle=false', 'spark.jars': './jars/ScalaUDFjarfile.jar,./jars/JavaUDFjarfile.jar,./jars/ScalaUDFjarfileTable.jar,./jars/ScalaUDFjarfileAggregate.jar', 'spark.ui.showConsoleProgress': 'true', 'spark.sql.execution.root.id': '8', 'spark.driver.extraJavaOptions': '-Djava.net.preferIPv6Addresses=false -XX:+IgnoreUnrecognizedVMOptions --add-opens=java.base/java.lang=ALL-UNNAMED --add-opens=java.base/java.lang.invoke=ALL-UNNAMED --add-opens=java.base/java.lang.reflect=ALL-UNNAMED --add-opens=java.base/java.io=ALL-UNNAMED --add-opens=java.base/java.net=ALL-UNNAMED --add-opens=java.base/java.nio=ALL-UNNAMED --add-opens=java.base/java.util=ALL-UNNAMED --add-opens=java.base/java.util.concurrent=ALL-UNNAMED --add-opens=java.base/java.util.concurrent.atomic=ALL-UNNAMED --add-opens=java.base/jdk.internal.ref=ALL-UNNAMED --add-opens=java.base/sun.nio.ch=ALL-UNNAMED --add-opens=java.base/sun.nio.cs=ALL-UNNAMED --add-opens=java.base/sun.security.action=ALL-UNNAMED --add-opens=java.base/sun.util.calendar=ALL-UNNAMED --add-opens=java.security.jgss/sun.security.krb5=ALL-UNNAMED -Djdk.reflect.useDirectMethodHandle=false', 'spark.serializer.objectStreamReset': '100'}",1763628537693,JobSucceeded
