stage_id,stage_attempt_id,task_type,task_id,executor_id,host,launch_time,finish_time,failed,executor_deserialize_time,executor_deserialize_cpu_time,executor_run_time,executor_cpu_time,result_size,jvm_gc_time,result_serialization_time,memory_bytes_spilled,disk_bytes_spilled,peak_execution_memory,input_bytes,input_records,output_bytes,output_records,shuffle_read_bytes,shuffle_read_records,shuffle_write_bytes,shuffle_write_records
0,0,ResultTask,0,0,172.18.0.3,1763628530302,1763628530921,False,288,220249708,283,82502137,1723,11,2,0,0,0,0,0,0,0,0,0,0,0
1,0,ResultTask,1,0,172.18.0.3,1763628531719,1763628531769,False,23,14689893,16,14679738,1658,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,ResultTask,2,0,172.18.0.3,1763628531848,1763628531943,False,46,22613838,21,4416521,2134,0,3,0,0,0,0,0,0,0,0,0,0,0
3,0,ResultTask,3,0,172.18.0.3,1763628532055,1763628532081,False,14,9967713,4,1625226,1748,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,ResultTask,4,0,172.18.0.3,1763628532158,1763628532195,False,17,11562387,11,2341291,1790,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,ResultTask,5,0,172.18.0.3,1763628532290,1763628532340,False,24,13120581,15,2676037,1680,3,0,0,0,0,0,0,0,0,0,0,0,0
6,0,ResultTask,6,0,172.18.0.3,1763628532406,1763628532430,False,13,9161204,4,2243681,1706,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,ResultTask,7,0,172.18.0.3,1763628532511,1763628532546,False,15,10651386,12,2445804,2267,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,ShuffleMapTask,10,0,172.18.0.3,1763628534578,1763628536268,False,332,138639645,1339,337223313,2562,33,1,0,0,0,8701,0,0,0,0,0,0,0
8,0,ShuffleMapTask,9,0,172.18.0.3,1763628534578,1763628536268,False,334,183440243,1338,428683322,2605,33,1,0,0,0,421759,376152,0,0,0,0,0,0
8,0,ShuffleMapTask,11,0,172.18.0.3,1763628534579,1763628536269,False,332,160045271,1339,263133452,2562,33,1,0,0,0,8701,0,0,0,0,0,0,0
8,0,ShuffleMapTask,8,0,172.18.0.3,1763628534574,1763628536269,False,336,164737841,1338,853884531,2562,33,1,0,0,0,8701,0,0,0,0,0,0,0
10,0,ResultTask,12,0,172.18.0.3,1763628536363,1763628537332,False,145,115233932,803,144769085,5222,9,9,0,0,0,0,0,0,0,0,4,0,0
11,0,ShuffleMapTask,16,0,172.18.0.3,1763628537468,1763628537606,False,53,9056280,56,24017600,2562,9,6,0,0,0,8701,0,0,0,0,0,0,0
11,0,ShuffleMapTask,15,0,172.18.0.3,1763628537468,1763628537609,False,43,9774793,60,25514886,2562,4,5,0,0,0,8701,0,0,0,0,0,0,0
11,0,ShuffleMapTask,13,0,172.18.0.3,1763628537467,1763628537614,False,61,15028744,64,23612547,2519,9,0,0,0,0,8701,0,0,0,0,0,0,0
11,0,ShuffleMapTask,14,0,172.18.0.3,1763628537468,1763628537691,False,39,9738932,166,111803104,2562,9,0,0,0,0,421759,376152,0,0,0,0,0,0
13,0,ResultTask,17,0,172.18.0.3,1763628537742,1763628537840,False,26,17478433,60,43265443,5064,3,1,0,0,0,0,0,0,0,0,4,0,0
